STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5792;20180605;   10;  13.5;   4.0;    3;   0.0;   4;    4.050; 255;  -999;   7.3;  710.55;    3.7;   91.33;    7.8;    2.2;-999;eor
       5792;20180606;   10;  10.9;   4.0;    3;   6.0;   4;    6.250; 245;   7.2;   6.8;  712.31;    4.3;   81.38;    6.9;    2.8;-999;eor
       5792;20180607;   10;  10.1;   3.4;    3;   0.1;   4;    1.300; 240;   7.9;   7.4;  713.79;    4.5;   87.21;    7.0;    2.8;-999;eor
       5792;20180608;   10;  16.0;   4.9;    3;   0.0;   0;    7.067; 235;   7.8;   7.1;  711.92;    4.3;   85.25;    6.5;    2.6;-999;eor
       5792;20180609;   10;  14.9;   3.2;    3;  12.3;   4;    5.983; 225;   5.6;   7.5;  712.32;    4.4;   88.79;    7.9;    2.1;-999;eor
       5792;20180610;   10;  11.2;   5.1;    3;   1.7;   4;    4.583; 215;   7.3;   7.9;  713.38;    4.6;   92.83;    7.1;    3.0;-999;eor
       5792;20180611;   10;  22.2;   7.1;    3;   2.4;   4;    8.050; 205;   5.8;   7.8;  712.21;    5.9;   84.17;    8.4;    3.8;-999;eor
       5792;20180612;   10;  20.2;   5.8;    3;  22.7;   4;    4.650; 200;   7.0;   7.2;  708.46;    3.4;   91.88;    6.8;    0.7;-999;eor
       5792;20180613;   10;  10.4;   3.6;    3;  16.9;   4;    0.000; 195;   8.0;   5.8;  706.74;   -0.5;   98.29;    1.3;   -3.1;-999;eor
       5792;20180614;   10;   9.8;   3.3;    3;   0.0;   4;   12.900; 195;  -999;   4.4;  709.52;   -1.1;   77.79;    2.1;   -4.9;-999;eor
       5792;20180615;   10;   9.9;   3.3;    3;   0.0;   0;   12.650; 190;   3.0;   3.5;  711.57;    0.4;   55.33;    4.2;   -5.2;-999;eor
       5792;20180616;   10;   9.0;   3.1;    3;   0.0;   0;   10.083; 180;   4.6;   4.5;  712.66;    2.2;   62.13;    5.9;    0.5;-999;eor
       5792;20180617;   10;  10.9;   3.2;    3;  16.1;   4;    1.800; 180;   7.5;   6.2;  714.54;    1.7;   89.08;    4.8;   -0.8;-999;eor
       5792;20180618;   10;  11.1;   3.3;    3;   0.5;   4;    0.867; 175;   8.0;   6.5;  716.85;    1.1;   98.21;    2.3;   -0.2;-999;eor
       5792;20180619;   10;   8.9;   3.6;    3;   0.0;   4;    6.100; 170;   6.0;   6.4;  719.62;    3.0;   85.75;    5.5;   -0.2;-999;eor
       5792;20180620;   10;   7.9;   3.0;    3;   0.0;   0;   11.483; 160;   2.9;   6.9;  719.75;    7.3;   67.13;   10.9;    5.2;-999;eor
       5792;20180621;   10;  13.1;   5.5;    3;  17.1;   4;    4.550; 155;   5.8;   7.9;  716.25;    5.2;   88.88;    9.4;    1.2;-999;eor
       5792;20180622;   10;  16.9;   6.8;    3;   0.1;   4;    3.017; 150;   7.9;   4.6;  712.97;   -3.5;   96.75;    1.5;   -5.9;-999;eor
       5792;20180623;   10;  12.6;   5.1;    3;   0.2;   4;    6.583; 150;   7.3;   4.3;  713.89;   -3.6;   91.75;   -0.6;   -6.9;-999;eor
       5792;20180624;   10;  10.6;   4.2;    3;   5.1;   4;    3.767; 150;   7.9;   5.3;  712.87;   -1.6;   97.21;    0.2;   -3.8;-999;eor
       5792;20180625;   10;  11.5;   3.8;    3;   2.5;   4;    1.467; 150;   7.9;   5.1;  713.43;   -2.1;   97.67;   -0.8;   -4.0;-999;eor
       5792;20180626;   10;   6.9;   2.9;    3;   0.0;   4;    4.083; 150;   6.5;   5.4;  715.41;   -1.4;   96.88;    0.2;   -4.4;-999;eor
       5792;20180627;   10;  12.0;   3.4;    3;   6.8;   4;    0.833; 145;   7.8;   5.3;  714.18;   -1.6;   97.42;   -0.1;   -3.6;-999;eor
       5792;20180628;   10;  12.9;   3.7;    3;  22.8;   4;    0.000; 147;   7.9;   5.7;  711.75;   -0.9;   98.21;    0.7;   -3.2;-999;eor
       5792;20180629;   10;  11.9;   4.5;    3;   0.0;   4;    2.050; 140;   6.6;   7.5;  712.99;    3.2;   97.25;    5.9;    0.2;-999;eor
       5792;20180630;   10;  10.0;   3.4;    3;   0.0;   4;    9.900; 135;   3.7;   7.5;  713.82;    5.0;   85.17;    7.6;    3.3;-999;eor
       5792;20180701;   10;  15.1;   6.8;    3;   0.0;   4;    2.650; 130;   6.6;   8.2;  713.60;    4.7;   95.42;    6.0;    2.8;-999;eor
       5792;20180702;   10;  19.2;   7.0;    3;   0.0;   4;    6.083; 125;  -999;   8.6;  714.42;    6.4;   88.46;    7.9;    4.7;-999;eor
